Compound_CID,smiles,IC50_nM,label,InChIKey,InChIKey_14
56600472,CCCCC/C=C\C/C=C\CCCCCCCC(=O)OCCCC1=CC2=C(C=C1)OC(=C2)C3=CC4=C(C=C3)OCO4,2700,0,AABHSZUTAUSICN-HZJYTTRNSA-N,AABHSZUTAUSICN
168281125,CC(=O)N1C(CC(=N1)C2=CC=C(C=C2)C3=CC=CC=C3)C4=CC5=C(C=C4)OCO5,988,1,AACVKVMUDUPMQI-UHFFFAOYSA-N,AACVKVMUDUPMQI
42618136,CCOC(=O)C1=C(NC2=NC3=C(CCCC3)C(=C2C1C4=CC(=C(C=C4)OC)OC)N)C,45,1,AAEYHJGXSUBKQJ-UHFFFAOYSA-N,AAEYHJGXSUBKQJ
11821227,CCNC(=O)OC1=CC2=C(CCC2N)C=C1,17700,0,AAHXNWIGTPUBBQ-UHFFFAOYSA-N,AAHXNWIGTPUBBQ
168290323,CN1CCN(CC1)C2=C3CCCCC3=NC4=C2C=C(C=C4)[N+](=O)[O-],245,1,AAIVPEBVZWQHCI-UHFFFAOYSA-N,AAIVPEBVZWQHCI
71456744,CN(C)CCOC1=CC=C(C=C1)C(=O)/C=C/C2=CC=CC=C2,4680,0,AAJCCATVSUSRCY-MDWZMJQESA-N,AAJCCATVSUSRCY
46888221,C[C@H](CC[C@H](C(C)(C)O)O)[C@H]1CC[C@@]2([C@@]1(CC=C3C2=CC[C@@H]4[C@@]3(CCC(=O)C4(C)C)C)C)C,25080,0,AAJIHHYEPHRIET-IYWVPRTKSA-N,AAJIHHYEPHRIET
23636020,CN(C1=CC(=CC=C1)Cl)C(=O)OC2=CC=C(C=C2)OC3=NC=C(C=C3)C(F)(F)F,50000,0,AAMQCUQQLINFHV-UHFFFAOYSA-N,AAMQCUQQLINFHV
164621601,COC1=CC=C(C=C1)N=N/C(=C(/C(F)(F)F)\O)/C(=O)OC,30300,0,AAQJFUXWICSQTK-VRMCWJJMSA-N,AAQJFUXWICSQTK
45482005,CCCSC1=NC2=NC3=C(C4CC(C3)C=C(C4)C)C(=C2S1)N,7690,0,AAWCGROUIUANBA-UHFFFAOYSA-N,AAWCGROUIUANBA
11221441,CC1=CC=C(C=C1)C2=NN(C(=N2)SC)C(=O)N(C)C3=CC=CC=C3,2400,0,AAXQEELWFXEVAH-UHFFFAOYSA-N,AAXQEELWFXEVAH
162660967,C[N+]1(CCN(CC1)C2=CC=C(C=C2)/C=C/3\CC4=CC(=C(C=C4C3=O)OC)OC)CC5=CC(=CC=C5)Br.[Br-],1990,0,ABCJHWVSAVSIFR-CFYFISJPSA-M,ABCJHWVSAVSIFR
162645824,C1=CC=C(C(=C1)C2=NN=C(O2)NC3=NC=CC=N3)[N+](=O)[O-],3388.44,0,ABHQPKFAWBLZQM-UHFFFAOYSA-N,ABHQPKFAWBLZQM
CHEMBL990,CN(Cc1ccc(C(C)(C)C)cc1)Cc1cccc2ccccc12,6907.1,0,ABJKWBDEJIDSJZ-UHFFFAOYSA-N,ABJKWBDEJIDSJZ
52947429,CCCCCCCCCCCCCCNC1=C2CCCCC2=NC3=C1C=C(C=C3)OC.Cl,46000,0,ABMNQNSOKQTPIH-UHFFFAOYSA-N,ABMNQNSOKQTPIH
118733330,C1=CC=C(C(=C1)CNCCCCCCCN2C(=O)C3=CC=CC=C3C2=O)F,329,1,ABMUIKNLWXQBLZ-UHFFFAOYSA-N,ABMUIKNLWXQBLZ
44396900,C[N+]1(CCCC(CC1)C(=O)C2=CC3=CC(=C(C=C3S2)OC)OC)CC4CCCCO4,28,1,ABNOJWGKGYSFSX-UHFFFAOYSA-N,ABNOJWGKGYSFSX
137634437,COC1=C(C=CC(=C1)/C=C/C(=O)NC2=CC=CC=C2)OCCCCN3CCCC3,24350,0,ABOSKQBOCJYUER-WYMLVPIESA-N,ABOSKQBOCJYUER
145977623,C1CC2=NC3=C(C=C(C=C3)NC(=O)CNCC4=CC=CC=C4F)C(=O)N2C1,528,1,ABTANIOYSSLHPL-UHFFFAOYSA-N,ABTANIOYSSLHPL
145986706,CCN(CC)C1=CC=C(C=C1)/C=C/C2=NC3=CC=CC=C3C(=C2)N4CCCCC4,64100,0,ABUXRHQYNOLAJI-NTCAYCPXSA-N,ABUXRHQYNOLAJI
145991370,CCN1CCN(CC1)C2CCN(CC2)C(=O)COC3=CC4=C(C=C3)C(=O)CC4,4900,0,ABWKLFAGXDXGFC-UHFFFAOYSA-N,ABWKLFAGXDXGFC
171353514,CC1=CC(=CC=C1)C(=O)N2CC3=C(CC2=O)C=C(C=C3)N4C(=O)C5=CC=CC=C5C4=O,25.48,1,ABXOSVSNRQUCLU-UHFFFAOYSA-N,ABXOSVSNRQUCLU
155565176,C1CCC2=NC3=CC=CC=C3C(=C2C1)NNC(=S)NC4=CC=CC=C4,610,1,ACCSWVGAMRADDI-UHFFFAOYSA-N,ACCSWVGAMRADDI
71615101,C1CN2[C@]3(C(=O)NC4=C3C=CC(=C4)Cl)[C@H](C[C@H]2C1)C(=O)N5C/C(=C\C6=CC=CC7=CC=CC=C67)/C(=O)/C(=C/C8=CC=CC9=CC=CC=C89)/C5,5810,0,ACEKJSVJSPWCFJ-QEJYEJBOSA-N,ACEKJSVJSPWCFJ
10337506,C\1N(C/C(=C\C2=CNC=C2)/C(=O)/C1=C/C3=CNC=C3)CC4=CC=CC=C4,6000,0,ACFCLLGSDFAVEQ-CLVAPQHMSA-N,ACFCLLGSDFAVEQ
155532152,C1CCC2=NC3=CC=CC=C3C(=C2C1)N/N=C/C4=CC=C(C=C4)OCC5=CN(N=N5)CC6=CC=CC=C6.Cl,1050,0,ACFMCCMQUFKRFA-PYDDSSFOSA-N,ACFMCCMQUFKRFA
