Epoch,Mean Reward,Max Reward,Min Reward,EMA Baseline,P(active),P(inactive)
1,0.5419,0.9811,0.0577,0.5399,0.5419,0.4581
2,0.5512,0.9811,0.0483,0.5390,0.5512,0.4488
3,0.5570,0.9811,0.0361,0.5636,0.5570,0.4430
4,0.5704,0.9811,0.0616,0.5782,0.5704,0.4296
5,0.5879,0.9821,0.0833,0.6035,0.5879,0.4121
6,0.5958,0.9811,0.0576,0.6009,0.5958,0.4042
7,0.6099,0.9811,0.0431,0.6150,0.6099,0.3901
8,0.6174,0.9811,0.0637,0.6143,0.6174,0.3826
9,0.6229,0.9811,0.0695,0.6186,0.6229,0.3771
10,0.6416,0.9811,0.0689,0.6292,0.6416,0.3584
11,0.6546,0.9840,0.0712,0.6532,0.6546,0.3454
12,0.6629,0.9811,0.0715,0.6526,0.6629,0.3371
13,0.6718,0.9811,0.0667,0.6757,0.6718,0.3282
14,0.6762,0.9811,0.0586,0.6689,0.6762,0.3238
15,0.6795,0.9840,0.0510,0.6905,0.6795,0.3205
16,0.6876,0.9811,0.0537,0.6931,0.6876,0.3124
17,0.7047,0.9811,0.0711,0.6797,0.7047,0.2953
18,0.7156,0.9840,0.0493,0.7099,0.7156,0.2844
19,0.7167,0.9840,0.0581,0.7066,0.7167,0.2833
20,0.7346,0.9840,0.0526,0.7221,0.7346,0.2654
21,0.7468,0.9897,0.0613,0.7337,0.7468,0.2532
22,0.7532,0.9876,0.0500,0.7568,0.7532,0.2468
23,0.7775,0.9897,0.0761,0.7791,0.7775,0.2225
24,0.7822,0.9902,0.0711,0.7845,0.7822,0.2178
25,0.8056,0.9937,0.0761,0.8177,0.8056,0.1944
26,0.8156,0.9904,0.0826,0.8094,0.8156,0.1844
27,0.8257,0.9907,0.0700,0.8219,0.8257,0.1743
28,0.8414,0.9910,0.1397,0.8503,0.8414,0.1586
29,0.8496,0.9929,0.0788,0.8416,0.8496,0.1504
30,0.8608,0.9937,0.0559,0.8724,0.8608,0.1392
31,0.8795,0.9937,0.0782,0.8782,0.8795,0.1205
32,0.8961,0.9943,0.0371,0.9050,0.8961,0.1039
33,0.9115,0.9953,0.0711,0.9206,0.9115,0.0885
34,0.9268,0.9951,0.1513,0.9352,0.9268,0.0732
35,0.9328,0.9951,0.0621,0.9213,0.9328,0.0672
36,0.9426,0.9951,0.0782,0.9598,0.9426,0.0574
37,0.9495,0.9951,0.0540,0.9594,0.9495,0.0505
38,0.9581,0.9960,0.0909,0.9580,0.9581,0.0419
39,0.9610,0.9960,0.0571,0.9564,0.9610,0.0390
40,0.9660,0.9960,0.1151,0.9645,0.9660,0.0340
41,0.9687,0.9960,0.0923,0.9607,0.9687,0.0313
42,0.9718,0.9960,0.0842,0.9774,0.9718,0.0282
43,0.9727,0.9960,0.0909,0.9724,0.9727,0.0273
44,0.9749,0.9960,0.1513,0.9770,0.9749,0.0251
45,0.9744,0.9979,0.1397,0.9738,0.9744,0.0256
46,0.9759,0.9960,0.1006,0.9781,0.9759,0.0241
47,0.9778,0.9963,0.0909,0.9813,0.9778,0.0222
48,0.9764,0.9960,0.1830,0.9773,0.9764,0.0236
49,0.9764,0.9960,0.0842,0.9680,0.9764,0.0236
50,0.9760,0.9960,0.1513,0.9792,0.9760,0.0240
