ID,SMILES,MW,LogP,TPSA,QED,HBA,HBD,Rotatable,Rings,HeavyAtoms,FractionCSP3,Reward,Valid_SMILES
D0001,Cc1ccc(-c2ccccc2-[n+]2ccccc2)cc1N1CCC(CCC(=O)CCC(=O)c2ccncc2F)CC1,536.671,6.70162000000001,54.15,0.167165466287657,4,0,10,5,40,0.294117647058824,0.995007991790772,True
D0002,O=C(CCC(=O)c1ccncc1F)CCC1CCN(n2ccc(=O)c(-[n+]3ccccc3)c2)CC1,463.533,3.0195,76.15,0.360244043375597,6,0,9,4,34,0.346153846153846,0.987902939319611,True
D0003,O=C(CCC(=O)c1ccncc1F)CCC1CCN(c2cc(=O)c(-[n+]3ccccc3)cn2N2CCC(CCC(=O)CCC(=O)c3ccncc3F)CC2)CC1,753.871,5.78240000000001,126.42,0.097458866977051,10,0,17,6,55,0.428571428571429,0.991054713726044,True
D0004,Cn1cc(N2CCC(CCC(=O)c3ccncc3F)CC2)cc(CSCCc2ccccc2)c1=O,493.648,5.27480000000001,55.2,0.284327769525434,6,0,10,4,35,0.392857142857143,0.99298083782196,True
D0005,Cc1c2c(cc3c1OC(c1ccccc1-[n+]1ccccc1)C3=O)CN(N1CCC(CCC(=O)CCC(=O)c3ccncc3F)CC1)CO2,649.743,5.91352000000001,92.92,0.154686224458451,8,0,10,7,48,0.342105263157895,0.988503277301788,True
D0006,CN(c1ccccc1-[n+]1ccccc1)S(=O)(=O)CCN1CCC(CCC(=O)CCC(=O)c2ccncc2F)CC1,567.707,3.9878,91.53,0.22922931533609,6,0,13,4,40,0.4,0.992010891437531,True
D0007,O=C(CCC(=O)c1ccncc1F)CCC1CCN(OC(=O)c2ccccc2-[n+]2ccccc2)CC1,490.555,4.2936,80.45,0.311567238484531,6,0,10,4,36,0.321428571428571,0.982511222362518,True
D0008,O=C(CCC(=O)c1ccncc1F)CCC1CCN(NC(=O)Nc2ccccc2-[n+]2ccccc2)CC1,504.586,4.2583,95.28,0.317861658840287,5,2,10,4,37,0.321428571428571,0.984012722969055,True
D0009,Cc1cc(F)cc(-c2ccc(N3CCC(CCC(=O)CCC(=O)c4ccncc4F)CC3)nc2)c1,477.555,5.95902000000001,63.16,0.356025491258106,5,0,9,4,35,0.357142857142857,0.994072616100311,True
D0010,O=C(CCC(=O)c1ccncc1F)CCC1CCN(C(=O)Nc2ccccc2-[n+]2ccccc2)CC1,489.571,4.7537,83.25,0.347251343170284,4,1,9,4,36,0.321428571428571,0.989576578140259,True
